Model Type,Weighted,Context Size,Dimensionality,Accuracy,Precision,Recall,F1 Score
Word2Vec,Unweighted,10,100,0.585,0.645,0.58,0.59
Word2Vec,Unweighted,10,150,0.610,0.661,0.61,0.62
Word2Vec,Weighted,5,100,0.621,0.621,0.62,0.62
Word2Vec,Unweighted,5,100,0.604,0.647,0.60,0.60
Word2Vec,Weighted,5,150,0.572,0.567,0.57,0.54
Word2Vec,Unweighted,5,150,0.628,0.656,0.63,0.63
Word2Vec,Weighted,5,200,0.531,0.592,0.53,0.49
Word2Vec,Unweighted,5,200,0.629,0.654,0.63,0.64
Word2Vec,Weighted,5,250,0.501,0.600,0.50,0.45
Word2Vec,Unweighted,5,250,0.618,0.657,0.62,0.62
Word2Vec,Weighted,5,300,0.583,0.598,0.58,0.56
Word2Vec,Unweighted,5,300,0.653,0.663,0.65,0.66
Word2Vec,Weighted,6,100,0.529,0.558,0.53,0.51
Word2Vec,Unweighted,6,100,0.594,0.643,0.59,0.60
Word2Vec,Unweighted,6,150,0.559,0.648,0.56,0.57
Word2Vec,Unweighted,6,200,0.626,0.635,0.63,0.63
Word2Vec,Weighted,8,100,0.423,0.511,0.42,0.35
Word2Vec,Unweighted,8,100,0.556,0.635,0.56,0.56
Word2Vec,Weighted,8,150,0.477,0.546,0.48,0.43
Word2Vec,Unweighted,8,150,0.614,0.650,0.61,0.62
Word2Vec,Weighted,8,200,0.639,0.639,0.64,0.64
Word2Vec,Unweighted,8,200,0.645,0.649,0.65,0.65
Word2Vec,Weighted,8,250,0.614,0.619,0.61,0.61
Word2Vec,Unweighted,8,250,0.622,0.653,0.62,0.63
Word2Vec,Weighted,8,300,0.513,0.583,0.51,0.47
Word2Vec,Unweighted,8,300,0.594,0.658,0.59,0.60